about-facing;about-facings;is about-facing:V
disusing;disusings;is disusinging:V
disvalued;disvalueds;is disvaluedding:V
disvaluing;disvaluings;is disvaluinging:V
divaricated;divaricateds;is divaricatedding:V
divaricating;divaricatings;is divaricatinging:V
diverged;divergeds;is divergedding:V
diverging;divergings;is diverginging:V
dividing;dividings;is dividinging:V
divined;divineds;is divinedding:V
divining;divinings;is divininging:V
divorced;divorceds;is divorcedding:V
divorcing;divorcings;is divorcinging:V
divvied;divvieds;is divviedding:V
divvying;divvyings;is divvyinging:V
docketed;docketeds;is docketedding:V
docketing;docketings;is docketinging:V
dodged;dodgeds;is dodgedding:V
dodging;dodgings;is dodginging:V
dogging;doggings;is dogginging:V
dogmatized;dogmatizeds;is dogmatizedding:V
dogmatizing;dogmatizings;is dogmatizinging:V
doled;doleds;is doledding:V
doling;dolings;is dolinging:V
domed;domeds;is domedding:V
domesticated;domesticateds;is domesticatedding:V
domesticating;domesticatings;is domesticatinging:V
domiciled;domicileds;is domiciledding:V
domiciliated;domiciliateds;is domiciliatedding:V
domiciliating;domiciliatings;is domiciliatinging:V
domiciling;domicilings;is domicilinging:V
dominated;dominateds;is dominatedding:V
dominating;dominatings;is dominatinging:V
doming;domings;is dominging:V
donated;donateds;is donatedding:V
donating;donatings;is donatinging:V
doodled;doodleds;is doodledding:V
doodling;doodlings;is doodlinging:V
doped;dopeds;is dopedding:V
doping;dopings;is dopinging:V
dosed;doseds;is dosedding:V
dosing;dosings;is dosinging:V
dotting;dottings;is dottinging:V
double-dated;double-dateds;is double-datedding:V
double-dating;double-datings;is double-datinging:V
double-spaced;double-spaceds;is double-spacedding:V
double-spacing;double-spacings;is double-spacinging:V
double-stopped;double-stoppeds;is double-stoppedding:V
double-stopping;double-stoppings;is double-stoppinging:V
double-timed;double-timeds;is double-timedding:V
double-timing;double-timings;is double-timinging:V
doubled;doubleds;is doubledding:V
doublethinking;doublethinkings;is doublethinkinging:V
doubling;doublings;is doublinging:V
douched;doucheds;is douchedding:V
douching;douchings;is douchinging:V
doused;douseds;is dousedding:V
dousing;dousings;is dousinging:V
doweled;doweleds;is doweledding:V
doweling;dowelings;is dowelinging:V
dowelled;dowelleds;is dowelledding:V
dowelling;dowellings;is dowellinging:V
downgraded;downgradeds;is downgradedding:V
downgrading;downgradings;is downgradinging:V
dozed;dozeds;is dozedding:V
dozing;dozings;is dozinging:V
drabbed;drabbeds;is drabbedding:V
drabbing;drabbings;is drabbinging:V
dragged;draggeds;is draggedding:V
dragging;draggings;is dragginging:V
draggled;draggleds;is draggledding:V
draggling;dragglings;is dragglinging:V
drammed;drammeds;is drammedding:V
dramming;drammings;is dramminging:V
draped;drapeds;is drapedding:V
draping;drapings;is drapinging:V
dratting;drattings;is drattinging:V
drawbored;drawboreds;is drawboredding:V
drawboring;drawborings;is drawboringing:V
dreamed;dreameds;is dreamedding:V
dreaming;dreamings;is dreaminging:V
dredged;dredgeds;is dredgedding:V
dredging;dredgings;is dredginging:V
dribbled;dribbleds;is dribbledding:V
dribbling;dribblings;is dribblinging:V
dried;drieds;is driedding:V
drip-dried;drip-drieds;is drip-driedding:V
drip-drying;drip-dryings;is drip-dryinging:V
driveled;driveleds;is driveledding:V
driveling;drivelings;is drivelinging:V
drivelled;drivelleds;is drivelledding:V
drivelling;drivellings;is drivellinging:V
drizzled;drizzleds;is drizzledding:V
drizzling;drizzlings;is drizzlinging:V
droned;droneds;is dronedding:V
droning;dronings;is droninging:V
dropped;droppeds;is droppedding:V
droved;droveds;is drovedding:V
droving;drovings;is drovinging:V
drowsed;drowseds;is drowsedding:V
drowsing;drowsings;is drowsinging:V
drubbed;drubbeds;is drubbedding:V
drubbing;drubbings;is drubbinging:V
drudged;drudgeds;is drudgedding:V
drudging;drudgings;is drudginging:V
drugged;druggeds;is druggedding:V
drugging;druggings;is drugginging:V
drummed;drummeds;is drummedding:V
drumming;drummings;is drumminging:V
dubbed;dubbeds;is dubbedding:V
dueled;dueleds;is dueledding:V
dueling;duelings;is duelinging:V
duelled;duelleds;is duelledding:V
duelling;duellings;is duellinging:V
dunnaged;dunnageds;is dunnagedding:V
dunnaging;dunnagings;is dunnaginging:V
dunned;dunneds;is dunnedding:V
dunning;dunnings;is dunninging:V
duped;dupeds;is dupedding:V
duping;dupings;is dupinging:V
duplicated;duplicateds;is duplicatedding:V
duplicating;duplicatings;is duplicatinging:V
dwelled;dwelleds;is dwelledding:V
dwindled;dwindleds;is dwindledding:V
dwindling;dwindlings;is dwindlinging:V
dying;dyings;is dyinging:V
dyked;dykeds;is dykedding:V
dyking;dykings;is dykinging:V
dynamited;dynamiteds;is dynamitedding:V
dynamiting;dynamitings;is dynamitinging:V
eagled;eagleds;is eagledding:V
eagling;eaglings;is eaglinging:V
earwigged;earwiggeds;is earwiggedding:V
earwigging;earwiggings;is earwigginging:V
eased;easeds;is easedding:V
easing;easings;is easinging:V
eclipsed;eclipseds;is eclipsedding:V
eclipsing;eclipsings;is eclipsinging:V
economized;economizeds;is economizedding:V
economizing;economizings;is economizinging:V
edged;edgeds;is edgedding:V
effeminated;effeminateds;is effeminatedding:V
effeminating;effeminatings;is effeminatinging:V
effused;effuseds;is effusedding:V
effusing;effusings;is effusinging:V
Egyptianized;Egyptianizeds;is Egyptianizedding:V
Egyptianizing;Egyptianizings;is Egyptianizinging:V
ejaculated;ejaculateds;is ejaculatedding:V
ejaculating;ejaculatings;is ejaculatinging:V
elaborated;elaborateds;is elaboratedding:V
elaborating;elaboratings;is elaboratinging:V
elapsed;elapseds;is elapsedding:V
elapsing;elapsings;is elapsinging:V
elated;elateds;is elatedding:V
elating;elatings;is elatinging:V
electroplated;electroplateds;is electroplatedding:V
electroplating;electroplatings;is electroplatinging:V
electrotyped;electrotypeds;is electrotypedding:V
electrotyping;electrotypings;is electrotypinging:V
elegized;elegizeds;is elegizedding:V
elegizing;elegizings;is elegizinging:V
elevating;elevatings;is elevatinging:V
elongated;elongateds;is elongatedding:V
elongating;elongatings;is elongatinging:V
emanated;emanateds;is emanatedding:V
emanating;emanatings;is emanatinging:V
emasculated;emasculateds;is emasculatedding:V
emasculating;emasculatings;is emasculatinging:V
embed;embeds;is embedding:V
embraced;embraceds;is embracedding:V
embracing;embracings;is embracinging:V
emceed;emceeds;is emceedding:V
emceeing;emceeings;is emceeinging:V
emigrated;emigrateds;is emigratedding:V
emigrating;emigratings;is emigratinging:V
emplaced;emplaceds;is emplacedding:V
emplacing;emplacings;is emplacinging:V
emulated;emulateds;is emulatedding:V
emulating;emulatings;is emulatinging:V
enameled;enameleds;is enameledding:V
enameling;enamelings;is enamelinging:V
enamelled;enamelleds;is enamelledding:V
enamelling;enamellings;is enamellinging:V
encinctured;encinctureds;is encincturedding:V
encincturing;encincturings;is encincturinging:V
encored;encoreds;is encoredding:V
encoring;encorings;is encoringing:V
endorsing;endorsings;is endorsinging:V
endured;endureds;is enduredding:V
energized;energizeds;is energizedding:V
energizing;energizings;is energizinging:V
enervating;enervatings;is enervatinging:V
enfiladed;enfiladeds;is enfiladedding:V
enfilading;enfiladings;is enfiladinging:V
enlarged;enlargeds;is enlargedding:V
enlarging;enlargings;is enlarginging:V
ensilaged;ensilageds;is ensilagedding:V
ensilaging;ensilagings;is ensilaginging:V
enthused;enthuseds;is enthusedding:V
enthusing;enthusings;is enthusinging:V
enucleated;enucleateds;is enucleatedding:V
enucleating;enucleatings;is enucleatinging:V
enunciated;enunciateds;is enunciatedding:V
enunciating;enunciatings;is enunciatinging:V
equilibrating;equilibratings;is equilibratinging:V
equipoised;equipoiseds;is equipoisedding:V
equipoising;equipoisings;is equipoisinging:V
erased;eraseds;is erasedding:V
erasing;erasings;is erasinging:V
eroded;erodeds;is erodedding:V
eroding;erodings;is erodinging:V
escaladed;escaladeds;is escaladedding:V
escalading;escaladings;is escaladinging:V
escaped;escapeds;is escapedding:V
escaping;escapings;is escapinging:V
esquired;esquireds;is esquiredding:V
esquiring;esquirings;is esquiringing:V
estated;estateds;is estatedding:V
estating;estatings;is estatinging:V
estimated;estimateds;is estimatedding:V
estimating;estimatings;is estimatinging:V
ethylated;ethylateds;is ethylatedding:V
ethylating;ethylatings;is ethylatinging:V
etiolated;etiolateds;is etiolatedding:V
etiolating;etiolatings;is etiolatinging:V
etymologized;etymologizeds;is etymologizedding:V
etymologizing;etymologizings;is etymologizinging:V
euchred;euchreds;is euchredding:V
euchring;euchrings;is euchringing:V
euphemized;euphemizeds;is euphemizedding:V
euphemizing;euphemizings;is euphemizinging:V
evacuated;evacuateds;is evacuatedding:V
evacuating;evacuatings;is evacuatinging:V
evaded;evadeds;is evadedding:V
evading;evadings;is evadinging:V
evangelized;evangelizeds;is evangelizedding:V
evangelizing;evangelizings;is evangelizinging:V
evaporated;evaporateds;is evaporatedding:V
evaporating;evaporatings;is evaporatinging:V
evidenced;evidenceds;is evidencedding:V
evidencing;evidencings;is evidencinging:V
eviscerated;eviscerateds;is evisceratedding:V
eviscerating;evisceratings;is evisceratinging:V
evolved;evolveds;is evolvedding:V
evolving;evolvings;is evolvinging:V
exaggerating;exaggeratings;is exaggeratinging:V
exampled;exampleds;is exampledding:V
exampling;examplings;is examplinging:V
exasperated;exasperateds;is exasperatedding:V
exasperating;exasperatings;is exasperatinging:V
exceed;exceeds;is exceedding:V
excelled;excelleds;is excelledding:V
excelling;excellings;is excellinging:V
exchanged;exchangeds;is exchangedding:V
exchanging;exchangings;is exchanginging:V
excommunicated;excommunicateds;is excommunicatedding:V
excommunicating;excommunicatings;is excommunicatinging:V
excused;excuseds;is excusedding:V
excusing;excusings;is excusinging:V
execrated;execrateds;is execratedding:V
execrating;execratings;is execratinging:V
exenterated;exenterateds;is exenteratedding:V
exenterating;exenteratings;is exenteratinging:V
exercised;exerciseds;is exercisedding:V
exercising;exercisings;is exercisinging:V
exfoliated;exfoliateds;is exfoliatedding:V
exfoliating;exfoliatings;is exfoliatinging:V
exhaled;exhaleds;is exhaledding:V
exhaling;exhalings;is exhalinging:V
exiled;exileds;is exiledding:V
exiling;exilings;is exilinging:V
expatriated;expatriateds;is expatriatedding:V
expatriating;expatriatings;is expatriatinging:V
expectorated;expectorateds;is expectoratedding:V
expectorating;expectoratings;is expectoratinging:V
expedited;expediteds;is expeditedding:V
expediting;expeditings;is expeditinging:V
experiencing;experiencings;is experiencinging:V
expired;expireds;is expiredding:V
expiring;expirings;is expiringing:V
exploded;explodeds;is explodedding:V
exploding;explodings;is explodinging:V
explored;exploreds;is exploredding:V
exploring;explorings;is exploringing:V
exsanguinated;exsanguinateds;is exsanguinatedding:V
exsanguinating;exsanguinatings;is exsanguinatinging:V
exsiccated;exsiccateds;is exsiccatedding:V
exsiccating;exsiccatings;is exsiccatinging:V
extemporized;extemporizeds;is extemporizedding:V
extemporizing;extemporizings;is extemporizinging:V
extrapolated;extrapolateds;is extrapolatedding:V
extrapolating;extrapolatings;is extrapolatinging:V
extravasated;extravasateds;is extravasatedding:V
extravasating;extravasatings;is extravasatinging:V
extruded;extrudeds;is extrudedding:V
extruding;extrudings;is extrudinging:V
exuded;exudeds;is exudedding:V
exuding;exudings;is exudinging:V
eyeing;eyeings;is eyeinging:V
eyeleted;eyeleteds;is eyeletedding:V
eyeleting;eyeletings;is eyeletinging:V
eyeletted;eyeletteds;is eyelettedding:V
eyeletting;eyelettings;is eyelettinging:V
eying;eyings;is eyinging:V
fabling;fablings;is fablinging:V
faced;faceds;is facedding:V
faceted;faceteds;is facetedding:V
faceting;facetings;is facetinging:V
facetted;facetteds;is facettedding:V
facetting;facettings;is facettinging:V
facsimiled;facsimileds;is facsimiledding:V
facsimileing;facsimileings;is facsimileinging:V
faded;fadeds;is fadedding:V
fagged;faggeds;is faggedding:V
fagging;faggings;is fagginging:V
fainaigued;fainaigueds;is fainaiguedding:V
fainaiguing;fainaiguings;is fainaiguinging:V
fair-traded;fair-tradeds;is fair-tradedding:V
fair-trading;fair-tradings;is fair-tradinging:V
faked;fakeds;is fakedding:V
faking;fakings;is fakinging:V
falling;fallings;is fallinging:V
falsified;falsifieds;is falsifiedding:V
falsifying;falsifyings;is falsifyinging:V
famed;fameds;is famedding:V
familiarized;familiarizeds;is familiarizedding:V
familiarizing;familiarizings;is familiarizinging:V
faming;famings;is faminging:V
fanaticized;fanaticizeds;is fanaticizedding:V
fanaticizing;fanaticizings;is fanaticizinging:V
fanned;fanneds;is fannedding:V
fanning;fannings;is fanninging:V
fantasized;fantasizeds;is fantasizedding:V
fantasizing;fantasizings;is fantasizinging:V
farced;farceds;is farcedding:V
farcing;farcings;is farcinging:V
fared;fareds;is faredding:V
faring;farings;is faringing:V
fascinated;fascinateds;is fascinatedding:V
fatigated;fatigateds;is fatigatedding:V
fatigating;fatigatings;is fatigatinging:V
fatiguing;fatiguings;is fatiguinging:V
fating;fatings;is fatinging:V
fatted;fatteds;is fattedding:V
fatting;fattings;is fattinging:V
feather bed;feather beds;is feather bedding:V
featured;featureds;is featuredding:V
featuring;featurings;is featuringing:V
federated;federateds;is federatedding:V
federating;federatings;is federatinging:V
fed;feds;is fedding:V
feeding;feedings;is feedinging:V
feed;feeds;is feedding:V
feeing;feeings;is feeinging:V
feezed;feezeds;is feezedding:V
feezing;feezings;is feezinging:V
felicitated;felicitateds;is felicitatedding:V
felicitating;felicitatings;is felicitatinging:V
fellowshiped;fellowshipeds;is fellowshipedding:V
fellowshiping;fellowshipings;is fellowshipinging:V
fellowshipped;fellowshippeds;is fellowshippedding:V
fellowshipping;fellowshippings;is fellowshippinging:V
fenced;fenceds;is fencedding:V
ferrotyped;ferrotypeds;is ferrotypedding:V
ferrotyping;ferrotypings;is ferrotypinging:V
ferruled;ferruleds;is ferruledding:V
ferruling;ferrulings;is ferrulinging:V
feruling;ferulings;is ferulinging:V
festinated;festinateds;is festinatedding:V
festinating;festinatings;is festinatinging:V
feted;feteds;is fetedding:V
feting;fetings;is fetinging:V
fettled;fettleds;is fettledding:V
fibbed;fibbeds;is fibbedding:V
fibbing;fibbings;is fibbinging:V
fiddle-faddled;fiddle-faddleds;is fiddle-faddledding:V
fiddle-faddling;fiddle-faddlings;is fiddle-faddlinging:V
fiddled;fiddleds;is fiddledding:V
fifed;fifeds;is fifedding:V
fifing;fifings;is fifinging:V
figged;figgeds;is figgedding:V
figging;figgings;is figginging:V
fighting;fightings;is fightinging:V
figuring;figurings;is figuringing:V
fiked;fikeds;is fikedding:V
fiking;fikings;is fikinging:V
filed;fileds;is filedding:V
filigreeing;filigreeings;is filigreeinging:V
filing;filings;is filinging:V
filtrated;filtrateds;is filtratedding:V
filtrating;filtratings;is filtratinging:V
fimbriated;fimbriateds;is fimbriatedding:V
fimbriating;fimbriatings;is fimbriatinging:V
finagled;finagleds;is finagledding:V
finagling;finaglings;is finaglinging:V
finalized;finalizeds;is finalizedding:V
finalizing;finalizings;is finalizinging:V
financed;financeds;is financedding:V
financing;financings;is financinging:V
finding;findings;is findinging:V
fined;fineds;is finedding:V
